measurement_data;state_data;mode_probabilities;state_errors
[1.3497245e+04, 1.6430000e+02, 1.0000000e+00, 1.3497245e+04, 1.6430000e+02, 1.0000000e+00];[13547.83564304, 138.05415074, 25.33252788, 13547.62735651, 136.6116677, 15.52311537];[0.50004702, 0.49995298];[50.59064304, 26.24584926, 24.33252788, 50.38235651, 27.6883323, 14.52311537]
[1.351368e+04, 1.644000e+02, 1.000000e+00, 1.351368e+04, 1.644000e+02, 1.000000e+00];[1.35491853e+04, 1.39755130e+02, 5.84571974e+00, 1.35437171e+04, 1.33708629e+02, 5.19601357e+00];[0.50004232, 0.49995768];[35.50525914, 24.6448697, 4.84571974, 30.03708389, 30.69137062, 4.19601357]
[1.3530125e+04, 1.6450000e+02, 1.0000000e+00, 1.3530125e+04, 1.6450000e+02, 1.0000000e+00];[1.35413953e+04, 1.45549021e+02, 6.87154613e+00, 1.35268566e+04, 1.37662698e+02, 8.78067715e+00];[0.50003809, 0.49996191];[11.27027513, 18.95097901, 5.87154613, 3.26842, 26.83730203, 7.78067715]
[1.354658e+04, 1.646000e+02, 1.000000e+00, 1.354658e+04, 1.646000e+02, 1.000000e+00];[1.35705708e+04, 1.50418331e+02, 9.19972460e+00, 1.35561402e+04, 1.46854502e+02, 1.34534524e+01];[0.50003428, 0.49996572];[23.99081146, 14.18166944, 8.1997246, 9.56018731, 17.7454984, 12.45345239]
[1.3563045e+04, 1.6470000e+02, 1.0000000e+00, 1.3563045e+04, 1.6470000e+02, 1.0000000e+00];[1.36003177e+04, 1.52639146e+02, 6.86664702e+00, 1.35865088e+04, 1.53810274e+02, 1.10100952e+01];[0.50003085, 0.49996915];[37.27272356, 12.06085437, 5.86664702, 23.46377485, 10.88972624, 10.01009522]
[1.357952e+04, 1.648000e+02, 1.000000e+00, 1.357952e+04, 1.648000e+02, 1.000000e+00];[1.36273082e+04, 1.49758463e+02, 1.64634637e+00, 1.36145596e+04, 1.51845410e+02, 2.84130671e+00];[0.50002777, 0.49997223];[47.78822356, 15.04153688, 0.64634637, 35.03957594, 12.95458999, 1.84130671]
[1.3596005e+04, 1.6490000e+02, 1.0000000e+00, 1.3596005e+04, 1.6490000e+02, 1.0000000e+00];[1.36292128e+04, 1.50178651e+02, -1.28255560e+00, 1.36080759e+04, 1.40971008e+02, 5.40881224e-01];[0.50002499, 0.49997501];[33.20775676, 14.72134937, 2.2825556, 12.07091749, 23.92899165, 0.45911878]
[1.36125e+04, 1.65000e+02, 1.00000e+00, 1.36125e+04, 1.65000e+02, 1.00000e+00];[1.36394824e+04, 1.59378980e+02, 2.64284760e+00, 1.36097959e+04, 1.42109173e+02, 6.61509211e+00];[0.50002249, 0.49997751];[26.98241066, 5.62101966, 1.6428476, 2.70409521, 22.89082696, 5.61509211]
[1.3629005e+04, 1.6510000e+02, 1.0000000e+00, 1.3629005e+04, 1.6510000e+02, 1.0000000e+00];[1.36690331e+04, 1.59227850e+02, 1.90395927e+00, 1.36385049e+04, 1.47631938e+02, 1.11264260e+01];[0.50002024, 0.49997976];[40.02810089, 5.87215001, 0.90395927, 9.49986982, 17.4680618, 10.12642595]
[1.364552e+04, 1.652000e+02, 1.000000e+00, 1.364552e+04, 1.652000e+02, 1.000000e+00];[1.36985854e+04, 1.56103619e+02, -5.36043407e-01, 1.36694227e+04, 1.50091116e+02, 9.03824829e+00];[0.50001822, 0.49998178];[53.0653783, 9.09638058, 1.53604341, 23.90271024, 15.10888388, 8.03824829]
