measurement_data;state_data;mode_probabilities;state_errors
[15.125, 5.5, 1., 15.125, 5.5, 1.];[15.12498585, 5.49998488, 0.99985049, 15.12498585, 5.49998488, 0.99985049];[9.99851141e-01, 1.48859262e-04];[1.41528880e-05, 1.51152451e-05, 1.49511607e-04, 1.41528880e-05, 1.51152451e-05, 1.49511607e-04]
[15.68, 5.6, 1., 15.68, 5.6, 1.];[15.67998695, 5.59998474, 0.99985049, 15.67998695, 5.59998474, 0.99985049];[9.99851141e-01, 1.48858625e-04];[1.30541557e-05, 1.52622967e-05, 1.49505151e-04, 1.30541557e-05, 1.52622967e-05, 1.49505151e-04]
[16.245, 5.7, 1., 16.245, 5.7, 1.];[16.24498794, 5.69998455, 0.9998505, 16.24498794, 5.69998455, 0.9998505];[9.99851142e-01, 1.48858121e-04];[1.20564876e-05, 1.54452653e-05, 1.49496414e-04, 1.20564876e-05, 1.54452653e-05, 1.49496414e-04]
[16.82, 5.8, 1., 16.82, 5.8, 1.];[16.81998885, 5.79998435, 0.99985051, 16.81998885, 5.79998435, 0.99985051];[9.99851142e-01, 1.48857829e-04];[1.11523828e-05, 1.56526604e-05, 1.49486181e-04, 1.11523828e-05, 1.56526604e-05, 1.49486181e-04]
[17.405, 5.9, 1., 17.405, 5.9, 1.];[17.40498967, 5.89998412, 0.99985053, 17.40498967, 5.89998412, 0.99985053];[9.99851142e-01, 1.48857516e-04];[1.03345764e-05, 1.58752790e-05, 1.49474786e-04, 1.03345763e-05, 1.58752790e-05, 1.49474786e-04]
[18., 6., 1., 18., 6., 1.];[17.9999904, 5.99998389, 0.99985054, 17.9999904, 5.99998389, 0.99985054];[9.99851143e-01, 1.48857269e-04];[9.59610431e-06, 1.61058680e-05, 1.49462768e-04, 9.59610431e-06, 1.61058680e-05, 1.49462768e-04]
[18.605, 6.1, 1., 18.605, 6.1, 1.];[18.60499107, 6.09998366, 0.99985055, 18.60499107, 6.09998366, 0.99985055];[9.99851143e-01, 1.48857075e-04];[8.93034576e-06, 1.63387513e-05, 1.49450469e-04, 8.93034575e-06, 1.63387513e-05, 1.49450469e-04]
[19.22, 6.2, 1., 19.22, 6.2, 1.];[19.21999167, 6.19998343, 0.99985056, 19.21999167, 6.19998343, 0.99985056];[9.99851143e-01, 1.48856923e-04];[8.33105043e-06, 1.65695570e-05, 1.49438158e-04, 8.33105043e-06, 1.65695570e-05, 1.49438158e-04]
[19.845, 6.3, 1., 19.845, 6.3, 1.];[19.84499221, 6.29998321, 0.99985057, 19.84499221, 6.29998321, 0.99985057];[9.99851143e-01, 1.48856804e-04];[7.79235378e-06, 1.67949812e-05, 1.49426037e-04, 7.79235377e-06, 1.67949812e-05, 1.49426037e-04]
[20.48, 6.4, 1., 20.48, 6.4, 1.];[20.47999269, 6.39998299, 0.99985059, 20.47999269, 6.39998299, 0.99985059];[9.99851143e-01, 1.48856710e-04];[7.30878198e-06, 1.70125896e-05, 1.49414261e-04, 7.30878198e-06, 1.70125896e-05, 1.49414261e-04]
