measurement_data;state_data;mode_probabilities;state_errors
[109.6, 1., 0., 109.6, 1., 0.];[110.13120377, 0.65646521, 0.12878174, 110.13120377, 0.65646521, 0.12878174];[1.10281463e-08, 9.99999989e-01];[0.53120377, 0.34353479, 0.12878174, 0.53120377, 0.34353479, 0.12878174]
[109.7, 1., 0., 109.7, 1., 0.];[110.27141388, 0.65205137, 0.11869402, 110.27141388, 0.65205137, 0.11869402];[1.09824151e-08, 9.99999989e-01];[0.57141388, 0.34794863, 0.11869402, 0.57141388, 0.34794863, 0.11869402]
[109.8, 1., 0., 109.8, 1., 0.];[110.40120238, 0.64093489, 0.11213602, 110.40120238, 0.64093489, 0.11213602];[1.09515420e-08, 9.99999989e-01];[0.60120238, 0.35906511, 0.11213602, 0.60120238, 0.35906511, 0.11213602]
[110., 1., 0., 110., 1., 0.];[110.54325031, 0.64065541, 0.11458985, 110.54325031, 0.64065541, 0.11458985];[1.10077706e-08, 9.99999989e-01];[0.54325031, 0.35934459, 0.11458985, 0.54325031, 0.35934459, 0.11458985]
[110.1, 1., 0., 110.1, 1., 0.];[110.67616416, 0.63520517, 0.11401877, 110.67616416, 0.63520517, 0.11401877];[1.09802953e-08, 9.99999989e-01];[0.57616416, 0.36479483, 0.11401877, 0.57616416, 0.36479483, 0.11401877]
[110.2, 1., 0., 110.2, 1., 0.];[110.80050298, 0.62639805, 0.11346679, 110.80050298, 0.62639805, 0.11346679];[1.09604714e-08, 9.99999989e-01];[0.60050298, 0.37360195, 0.11346679, 0.60050298, 0.37360195, 0.11346679]
[110.3, 1., 0., 110.3, 1., 0.];[110.91731383, 0.61621215, 0.114179, 110.91731383, 0.61621215, 0.114179];[1.09491790e-08, 9.99999989e-01];[0.61731383, 0.38378785, 0.114179, 0.61731383, 0.38378785, 0.114179]
[110.5, 1., 0., 110.5, 1., 0.];[111.04983945, 0.62002837, 0.1211484, 111.04983945, 0.62002837, 0.1211484];[1.10143465e-08, 9.99999989e-01];[0.54983945, 0.37997163, 0.1211484, 0.54983945, 0.37997163, 0.1211484]
[110.7, 1., 0., 110.7, 1., 0.];[111.19843553, 0.63374798, 0.12740566, 111.19843553, 0.63374798, 0.12740566];[1.10535716e-08, 9.99999989e-01];[0.49843553, 0.36625202, 0.12740566, 0.49843553, 0.36625202, 0.12740566]
[110.8, 1., 0., 110.8, 1., 0.];[111.34012647, 0.63891755, 0.12517525, 111.34012647, 0.63891755, 0.12517525];[1.10201842e-08, 9.99999989e-01];[0.54012647, 0.36108245, 0.12517525, 0.54012647, 0.36108245, 0.12517525]
