measurement_data;state_data;mode_probabilities;state_errors
[1.70063743e+00, -3.66373500e-02, -1.88253000e-03, 7.92954110e-01, 9.14039300e-02, -4.91990000e-04];[1.37924673e+00, 1.82017966e-03, 9.90460618e-03, 1.04302736e+00, 9.12571663e-02, -5.80411390e-05];[7.27465380e-09, 9.99999993e-01];[3.21390697e-01, 3.84575297e-02, 1.17871362e-02, 2.50073251e-01, 1.46763722e-04, 4.33948861e-04]
[1.49065875, -0.01291784, -0.00590352, 1.56565496, 0.08830862, 0.00195929];[1.38737499, 0.00584234, 0.00565612, 1.09153611, 0.11470156, 0.00511483];[7.27208724e-09, 9.99999993e-01];[0.10328376, 0.01876018, 0.01155964, 0.47411885, 0.02639294, 0.00315554]
[1.38975730e+00, 4.03589500e-02, -6.54592263e-03, 6.24455910e-01, 1.74686760e-01, -7.29472036e-05];[1.38941831, 0.00828562, 0.00539469, 1.06853409, 0.09734276, 0.0041582];[7.27432506e-09, 9.99999993e-01];[3.38987164e-04, 3.20733285e-02, 1.19406111e-02, 4.44078176e-01, 7.73440021e-02, 4.23114820e-03]
[1.24380865e+00, -4.68717300e-02, -1.38032000e-03, 1.56956169e+00, 1.28121940e-01, 3.66202000e-03];[1.37681767, -0.00238128, -0.0023388, 1.11725638, 0.12249588, 0.01124266];[7.27017603e-09, 9.99999993e-01];[0.13300902, 0.04449045, 0.00095848, 0.45230531, 0.00562606, 0.00758064]
[1.21298001e+00, -3.98142400e-02, -3.02556000e-03, 7.64029860e-01, 1.17084300e-01, -3.85410000e-04];[1.36253249, -0.01289505, -0.00715934, 1.1011652, 0.10570554, 0.00426158];[7.27404296e-09, 9.99999993e-01];[0.14955248, 0.02691919, 0.00413378, 0.33713534, 0.01137876, 0.00464699]
[1.76091164e+00, -1.91941400e-02, -1.71092000e-03, 1.17341602e+00, 1.45959420e-01, -4.40139000e-03];[1.39174335, 0.00462329, -0.00242272, 1.11803223, 0.1113922, 0.00595649];[7.27464209e-09, 9.99999993e-01];[0.36916829, 0.02381743, 0.0007118, 0.05538379, 0.03456722, 0.01035788]
[1.15099173e+00, -3.61346900e-02, -1.23340000e-03, 1.37581303e+00, 1.00181680e-01, 1.18218000e-03];[1.37206445, -0.00959458, -0.00778418, 1.14769447, 0.12215453, 0.00612364];[7.27542325e-09, 9.99999993e-01];[0.22107272, 0.02654011, 0.00655078, 0.22811856, 0.02197285, 0.00494146]
[1.22578464e+00, 1.47548200e-02, -2.43690000e-03, 1.34833577e+00, 1.12264210e-01, 2.11730000e-04];[1.36088751, -0.01487897, -0.00573374, 1.17400446, 0.13029406, 0.00555436];[7.27813761e-09, 9.99999993e-01];[0.13510287, 0.02963379, 0.00329684, 0.17433131, 0.01802985, 0.00534263]
[1.07170721, 0.03358038, -0.00278208, 1.41836712, 0.0917695, -0.00168271];[1.33916949, -0.02486697, -0.00366909, 1.2033065, 0.13816521, 0.00269016];[7.27671786e-09, 9.99999993e-01];[0.26746228, 0.05844735, 0.00088701, 0.21506062, 0.04639571, 0.00437287]
[1.60333869e+00, -3.25350000e-03, -6.86431000e-03, 1.20755370e+00, 1.54890340e-01, 3.67360000e-04];[1.35802365e+00, -1.15696266e-02, -1.09203196e-04, 1.21703613e+00, 1.39072155e-01, 3.37403851e-03];[7.27695912e-09, 9.99999993e-01];[0.24531504, 0.00831613, 0.00675511, 0.00948243, 0.01581818, 0.00300668]
[1.55839548, -0.04468969, -0.00202518, 1.58180009, 0.13785394, -0.00371037];[1.37106754, -0.00488478, -0.0014142, 1.2578635, 0.15497791, 0.00480117];[7.27508794e-09, 9.99999993e-01];[0.18732794, 0.03980491, 0.00061098, 0.32393659, 0.01712397, 0.00851154]
[1.5682886, -0.04193377, -0.00232318, 1.32108486, 0.1302162, -0.00254215];[1.38433438e+00, 1.27312110e-03, -2.81526043e-03, 1.27604958e+00, 1.55365365e-01, 1.30313338e-03];[7.27842921e-09, 9.99999993e-01];[0.18395422, 0.04320689, 0.00049208, 0.04503528, 0.02514917, 0.00384528]
[1.05296092, -0.03027391, -0.00319093, 1.1221637, 0.12315771, -0.00487698];[1.35773243, -0.01653399, -0.00866914, 1.27728418, 0.14498956, -0.00456265];[7.27409844e-09, 9.99999993e-01];[0.30477151, 0.01373992, 0.00547821, 0.15512048, 0.02183185, 0.00031433]
[1.48728827, -0.02848211, -0.00391603, 1.22969187, 0.08732984, 0.00202145];[1.36570923, -0.01192325, -0.0071291, 1.28477006, 0.13785565, -0.00822882];[7.27846888e-09, 9.99999993e-01];[0.12157904, 0.01655886, 0.00321307, 0.05507819, 0.05052581, 0.01025027]
[1.44559087e+00, -1.85630200e-02, 1.09330000e-03, 9.82252420e-01, 1.35127750e-01, -4.99883000e-03];[1.37050851, -0.00887922, -0.00476148, 1.2741257, 0.12257374, -0.01058946];[7.27629531e-09, 9.99999993e-01];[0.07508236, 0.0096838, 0.00585478, 0.29187328, 0.01255401, 0.00559063]
[8.03272120e-01, -3.93284200e-02, 6.25600000e-04, 1.28591112e+00, 7.33004700e-02, -2.31432000e-03];[1.32488618, -0.03722455, -0.01129111, 1.28443635, 0.11842347, -0.01249288];[7.26926654e-09, 9.99999993e-01];[0.52161406, 0.00210387, 0.01191671, 0.00147477, 0.045123, 0.01017856]
[0.8016328, 0.01579203, -0.00209728, 1.6845304, 0.13869392, -0.00244381];[1.28329377, -0.05766431, -0.00943507, 1.32694569, 0.13714552, -0.00445214];[7.26872312e-09, 9.99999993e-01];[0.48166097, 0.07345634, 0.00733779, 0.35758471, 0.0015484, 0.00200833]
