measurement_data;state_data;mode_probabilities;state_errors
[6.21007819e+00, 1.03532790e+00, 6.25802000e-03, 6.32959788e+00, 1.05268475e+00, 6.07741000e-03];[6.13909317, 1.03567368, 0.01564847, 6.17326114, 1.0484697, 0.01431967];[7.27855665e-09, 9.99999993e-01];[0.07098502, 0.00034578, 0.00939045, 0.15633674, 0.00421505, 0.00824226]
[5.78088709e+00, 1.04409526e+00, 3.01110000e-04, 5.82864245e+00, 1.04892652e+00, 9.52760000e-03];[6.20744545, 1.01567824, 0.00791499, 6.24355444, 1.02893715, 0.00872998];[7.26749980e-09, 9.99999993e-01];[0.42655836, 0.02841702, 0.00761388, 0.41491199, 0.01998937, 0.00079762]
[6.12593773e+00, 1.00594094e+00, 2.34788000e-03, 6.78291087e+00, 1.01791638e+00, 1.60271000e-03];[6.29454401e+00, 1.00697627e+00, 3.88189885e-03, 6.37957507e+00, 1.04853995e+00, 1.01065390e-02];[7.27328048e-09, 9.99999993e-01];[0.16860628, 0.00103533, 0.00153402, 0.4033358, 0.03062357, 0.00850383]
[6.68124688e+00, 1.07183252e+00, 7.96170000e-03, 6.19587990e+00, 1.01066795e+00, 5.21370000e-03];[6.41978380e+00, 1.02546022e+00, 1.29920657e-02, 6.46075269e+00, 1.03317127e+00, 2.88624284e-03];[7.27234977e-09, 9.99999993e-01];[0.26146308, 0.0463723, 0.00503037, 0.26487279, 0.02250332, 0.00232746]
[6.80326531, 1.04405412, 0.00991051, 6.94897206, 1.02095778, 0.00786598];[6.54466398, 1.04073647, 0.01632781, 6.59321043, 1.05047837, 0.00678886];[7.27254955e-09, 9.99999993e-01];[0.25860133, 0.00331765, 0.0064173, 0.35576163, 0.02952059, 0.00107712]
[6.69170829e+00, 1.07988233e+00, 6.85529000e-03, 6.71417442e+00, 1.08072259e+00, 1.60429000e-03];[6.65355851, 1.04655204, 0.01744629, 6.70065492, 1.05376326, 0.00807734];[7.27897217e-09, 9.99999993e-01];[0.03814978, 0.03333029, 0.010591, 0.0135195, 0.02695933, 0.00647305]
[6.31325202e+00, 1.07613402e+00, 8.47359000e-03, 7.11798821e+00, 1.05273034e+00, 2.93210000e-03];[6.72513693, 1.02941783, 0.01322807, 6.82997589, 1.06844481, 0.0096004];[7.27130787e-09, 9.99999993e-01];[0.41188491, 0.04671619, 0.00475448, 0.28801232, 0.01571447, 0.0066683]
[7.16463204e+00, 1.03827279e+00, 4.35253000e-03, 6.87026812e+00, 1.05432832e+00, 7.28610000e-04];[6.85429516e+00, 1.04621648e+00, 1.48173636e-02, 6.93113515e+00, 1.06473020e+00, 5.46570405e-03];[7.27612578e-09, 9.99999993e-01];[0.31033688, 0.00794369, 0.01046483, 0.06086703, 0.01040188, 0.00473709]
[6.98911981e+00, 1.06313864e+00, 9.68754000e-03, 7.06512364e+00, 1.03669074e+00, 6.60435000e-03];[6.96189792e+00, 1.04992116e+00, 1.50849377e-02, 7.03863633e+00, 1.06449913e+00, 3.64721892e-03];[7.27915970e-09, 9.99999993e-01];[0.02722189, 0.01321748, 0.0053974, 0.02648731, 0.02780839, 0.00295713]
[7.31321098e+00, 1.05159357e+00, 2.37979000e-03, 7.07125334e+00, 1.00280369e+00, 8.47452000e-03];[7.08587789e+00, 1.06200407e+00, 1.42307024e-02, 7.13701389e+00, 1.05718721e+00, -9.79357274e-04];[7.27789355e-09, 9.99999993e-01];[0.22733309, 0.0104105, 0.01185091, 0.06576055, 0.05438352, 0.00945388]
[7.22593229e+00, 1.04522388e+00, 5.71614000e-03, 7.57494871e+00, 1.07259711e+00, 5.73598000e-03];[7.19401532e+00, 1.06314680e+00, 1.08863282e-02, 7.26890047e+00, 1.07385370e+00, 5.18208257e-03];[7.27588534e-09, 9.99999993e-01];[0.03191697, 0.01792292, 0.00517019, 0.30604824, 0.00125659, 0.0005539]
