measurement_data;state_data;mode_probabilities;state_errors
[0.88233286, -0.04706259, -0.00882333, 0.47062589, 0.08823329, -0.00470626];[0.88738269, -0.04937832, -0.00786943, 0.45745072, 0.09348013, -0.0127987];[6.34999319e-09, 9.99999994e-01];[0.00504983, 0.00231573, 0.0009539, 0.01317517, 0.00524684, 0.00809244]
[0.87758256, -0.04794255, -0.00877583, 0.47942554, 0.08775826, -0.00479426];[0.88211337, -0.05012109, -0.00745091, 0.46757519, 0.09243562, -0.01304814];[6.34999099e-09, 9.99999994e-01];[0.00453081, 0.00217854, 0.00132492, 0.01185035, 0.00467736, 0.00825388]
[0.87274451, -0.04881772, -0.00872745, 0.48817725, 0.08727445, -0.00488177];[0.87680509, -0.05082664, -0.0070986, 0.47751718, 0.09138523, -0.01315156];[6.34999036e-09, 9.99999994e-01];[0.00406058, 0.00200892, 0.00162885, 0.01066007, 0.00411078, 0.00826979]
[0.86781918, -0.04968801, -0.00867819, 0.49688014, 0.08678192, -0.0049688];[0.87145569, -0.05150779, -0.00681543, 0.48728707, 0.09034633, -0.01312268];[6.34999059e-09, 9.99999994e-01];[0.00363651, 0.00181978, 0.00186276, 0.00959307, 0.00356441, 0.00815388]
[0.86280707, -0.05055333, -0.00862807, 0.50553334, 0.08628071, -0.00505533];[0.86606268, -0.05217516, -0.00660031, 0.49689506, 0.08933174, -0.01297891];[6.34999121e-09, 9.99999994e-01];[0.00325561, 0.00162183, 0.00202776, 0.00863828, 0.00305103, 0.00792358]
[0.85252452, -0.05226872, -0.00852525, 0.52268723, 0.08525245, -0.00522687];[0.86015029, -0.05331066, -0.0068175, 0.50703657, 0.08881067, -0.01267193];[6.34997703e-09, 9.99999994e-01];[0.00762577, 0.00104194, 0.00170775, 0.01565066, 0.00355822, 0.00744506]
[0.84190098, -0.0539632, -0.00841901, 0.53963205, 0.0841901, -0.00539632];[0.85371476, -0.05484495, -0.00727661, 0.5176692, 0.08865534, -0.01238931];[6.34995768e-09, 9.99999994e-01];[0.01181378, 0.00088175, 0.0011424, 0.02196285, 0.00446524, 0.00699299]
[0.83646265, -0.05480239, -0.00836463, 0.54802394, 0.08364626, -0.00548024];[0.84725597, -0.05621687, -0.00745674, 0.52808208, 0.0883093, -0.01231281];[6.34996179e-09, 9.99999994e-01];[0.01079332, 0.00141448, 0.00090789, 0.01994186, 0.00466304, 0.00683257]
[0.83094068, -0.0556361, -0.00830941, 0.55636102, 0.08309407, -0.00556361];[0.8407759, -0.05744018, -0.0074345, 0.53828048, 0.0878015, -0.01236293];[6.34996571e-09, 9.99999994e-01];[0.00983522, 0.00180408, 0.00087491, 0.01808054, 0.00470743, 0.00679932]
[0.82533561, -0.05646425, -0.00825336, 0.56464247, 0.08253356, -0.00564642];[0.83427587, -0.05853112, -0.00727415, 0.54827036, 0.08716058, -0.01247754];[6.34996923e-09, 9.99999994e-01];[0.00894026, 0.00206687, 0.00097921, 0.01637211, 0.00462702, 0.00683112]
