measurement_data;state_data;mode_probabilities;state_errors
[0.82533561, -0.05646425, 0.56464247, 0.08253356, -0.00825336, -0.00564642];[0.82928292, -0.05033346, 0.5661498, 0.08631253, -0.00982694, -0.00433424];[0.76586771, 0.11706615, 0.11706615];[0.00394731, 0.00613079, 0.00150733, 0.00377897, 0.00157358, 0.00131218]
[0.81964802, -0.05728675, 0.57286746, 0.0819648, -0.00819648, -0.00572867];[0.82358114, -0.05121, 0.57440844, 0.08580452, -0.00981003, -0.00441928];[0.76511626, 0.11744187, 0.11744187];[0.00393312, 0.00607675, 0.00154098, 0.00383972, 0.00161355, 0.00130939]
[0.81387846, -0.05810352, 0.58103516, 0.08138785, -0.00813878, -0.00581035];[0.81779609, -0.05208127, 0.58260952, 0.08528771, -0.00979279, -0.00450444];[0.76435067, 0.11782467, 0.11782467];[0.00391763, 0.00602225, 0.00157436, 0.00389986, 0.00165401, 0.00130591]
[0.80802751, -0.05891448, 0.58914476, 0.08080275, -0.00808028, -0.00589145];[0.81192845, -0.05294719, 0.5907522, 0.08476216, -0.00977523, -0.00458968];[0.76357122, 0.11821439, 0.11821439];[0.00390094, 0.00596729, 0.00160744, 0.00395941, 0.00169495, 0.00130177]
[0.80209576, -0.05971954, 0.59719544, 0.08020958, -0.00802096, -0.00597195];[0.80597886, -0.05380767, 0.59883568, 0.08422792, -0.00975734, -0.004675];[0.76277822, 0.11861089, 0.11861089];[0.0038831, 0.00591187, 0.00164024, 0.00401834, 0.00173638, 0.00129695]
[0.7960838, -0.06051864, 0.60518641, 0.07960838, -0.00796084, -0.00605186];[0.79994801, -0.05466261, 0.60685915, 0.08368505, -0.00973913, -0.00476036];[0.76197192, 0.11901404, 0.11901404];[0.00386421, 0.00585603, 0.00167274, 0.00407667, 0.00177829, 0.0012915]
[0.78999223, -0.06131169, 0.61311685, 0.07899922, -0.00789992, -0.00613117];[0.79383654, -0.05551194, 0.6148218, 0.08313362, -0.0097206, -0.00484574];[0.7611526, 0.1194237, 0.1194237];[0.00384431, 0.00579975, 0.00170495, 0.0041344, 0.00182068, 0.00128543]
[0.78382167, -0.0620986, 0.62098599, 0.07838217, -0.00783822, -0.00620986];[0.78764515, -0.05635557, 0.62272284, 0.08257367, -0.00970176, -0.00493111];[0.76032051, 0.11983974, 0.11983974];[0.00382348, 0.00574303, 0.00173685, 0.0041915, 0.00186354, 0.00127875]
[0.77757272, -0.0628793, 0.62879302, 0.07775727, -0.00777573, -0.00628793];[0.78137449, -0.05719342, 0.63056148, 0.08200527, -0.00968259, -0.00501647];[0.75947591, 0.12026204, 0.12026204];[0.00380177, 0.00568588, 0.00176846, 0.004248, 0.00190686, 0.00127146]
[0.77124601, -0.06365372, 0.63653718, 0.0771246, -0.00771246, -0.00636537];[0.77502525, -0.05802543, 0.63833693, 0.08142848, -0.00966311, -0.00510178];[0.75861904, 0.12069048, 0.12069048];[0.00377924, 0.00562829, 0.00179975, 0.00430388, 0.00195065, 0.00126359]
[0.76484219, -0.06442177, 0.64421769, 0.07648422, -0.00764842, -0.00644218];[0.7685981, -0.05885153, 0.64604842, 0.08084337, -0.00964331, -0.00518701];[0.75775014, 0.12112493, 0.12112493];[0.00375591, 0.00557024, 0.00183073, 0.00435915, 0.00199489, 0.00125517]
[0.75836188, -0.06518338, 0.65183377, 0.07583619, -0.00758362, -0.00651834];[0.76209372, -0.05967163, 0.65369517, 0.08024998, -0.0096232, -0.00527216];[0.75686946, 0.12156527, 0.12156527];[0.00373184, 0.00551175, 0.0018614, 0.00441379, 0.00203958, 0.00124618]
